# t (s)	mx ()	my ()	mz ()	B_app (T)	m.region2x ()	m.region2y ()	m.region2z ()
0	0.37908494	-9.771241e-09	0	0.08	1	3.0290924e-08	0
0	0.3790592	0.003898285	0	0.079	0.9999318	0.011676616	0
0	0.37905943	0.0038821297	0	0.078	0.99993235	0.01162821	0
0	0.37905964	0.0038655398	0	0.077	0.9999329	0.011578559	0
0	0.37905982	0.003848811	0	0.076	0.9999336	0.011528373	0
0	0.37906012	0.0038316448	0	0.075	0.9999342	0.011476994	0
0	0.3790603	0.0038142996	0	0.074	0.99993473	0.011424958	0
0	0.37906054	0.0037965474	0	0.073	0.99993527	0.01137182	0
0	0.37906078	0.003778547	0	0.072	0.99993604	0.011317879	0
0	0.379061	0.0037601788	0	0.071	0.99993664	0.011262834	0
0	0.37906122	0.0037413435	0	0.07	0.9999372	0.011206566	0
0	0.37906143	0.0037223995	0	0.069	0.9999379	0.011149734	0
0	0.37906173	0.0037030773	0	0.068	0.99993855	0.011091768	0
0	0.37906197	0.0036832371	0	0.067	0.9999391	0.011032485	0
0	0.3790622	0.0036631592	0	0.066	0.99993986	0.010972312	0
0	0.37906244	0.0036426382	0	0.065	0.99994045	0.010910868	0
0	0.37906268	0.0036218138	0	0.064	0.99994123	0.010848454	0
0	0.379063	0.0036005378	0	0.063	0.9999419	0.010784686	0
0	0.37906328	0.0035788587	0	0.062	0.99994266	0.010719768	0
0	0.37906358	0.003556569	0	0.061	0.9999433	0.010653137	0
0	0.3790638	0.0035341086	0	0.06	0.9999441	0.010585756	0
0	0.37906408	0.0035110798	0	0.059	0.99994475	0.010516789	0
0	0.37906435	0.0034876468	0	0.058	0.9999455	0.01044649	0
0	0.3790646	0.003463586	0	0.057	0.9999462	0.010374486	0
0	0.37906492	0.0034391852	0	0.056	0.999947	0.010301403	0
0	0.3790652	0.0034141142	0	0.055	0.99994767	0.010226309	0
0	0.3790655	0.0033886132	0	0.054	0.99994856	0.010149925	0
0	0.37906578	0.003362664	0	0.053	0.99994934	0.010072197	0
0	0.3790661	0.003336032	0	0.052	0.99995005	0.00999242	0
0	0.37906644	0.0033087286	0	0.051	0.99995095	0.009910689	0
0	0.37906674	0.0032810362	0	0.05	0.9999518	0.009827671	0
0	0.37906706	0.0032525456	0	0.049	0.9999527	0.009742378	0
0	0.3790674	0.0032234667	0	0.048	0.9999534	0.00965532	0
0	0.3790677	0.0031937642	0	0.047	0.9999542	0.009566332	0
0	0.37906802	0.003163358	0	0.046	0.9999552	0.009475232	0
0	0.37906834	0.0031322537	0	0.045	0.9999561	0.009382038	0
0	0.3790687	0.0031003356	0	0.044	0.99995697	0.009286463	0
0	0.37906906	0.0030675912	0	0.043	0.9999579	0.009188469	0
0	0.37906936	0.0030343486	0	0.042	0.9999589	0.0090888	0
