# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	7.4505806e-08	-4.1405146e-06	-0.017184034	0	0	0
0	0.024703726	-2.1006272e-06	-0.01718645	0.001	0	0
0	0.049426377	-1.0922668e-06	-0.017193723	0.002	0	0
0	0.07403864	-5.857437e-07	-0.01720563	0.0030000003	0	0
0	0.0985779	-3.259629e-07	-0.017223736	0.004	0	0
0	0.122981176	-1.6909325e-07	-0.017247077	0.0049999994	0	0
0	0.14715877	-8.632196e-08	-0.017277729	0.0060000005	0	0
0	0.17118971	-4.345202e-08	-0.01731607	0.0069999998	0	0
0	0.1949487	-2.264278e-08	-0.017363288	0.008	0	0
0	0.21841367	-1.4115358e-08	-0.01742084	0.009	0	0
0	0.24162632	-1.0652002e-08	-0.017491104	0.009999999	0	0
0	0.26450655	-7.246854e-09	-0.017574891	0.011	0	0
0	0.28709897	-7.82893e-09	-0.017676461	0.012000001	0	0
0	0.3094618	-1.207809e-08	-0.017798409	0.012999998	0	0
0	0.3317232	-1.3562385e-08	-0.017946271	0.0139999995	0	0
0	0.35400409	-1.0652002e-08	-0.018127525	0.015	0	0
0	0.37693578	-1.2514647e-08	-0.018358337	0.016	0	0
0	0.40144652	-1.4202669e-08	-0.018670134	0.017000003	0	0
0	0.43311706	-1.603621e-08	-0.019223165	0.018	0	0
0	0.97029084	-5.326001e-09	-7.7719783e-16	0.019	0	0
0	0.97078234	-6.46196e-09	1.2122073e-23	0.019999998	0	0
0	0.9712679	-6.9703674e-09	7.816485e-31	0.021	0	0
0	0.97174746	-3.812602e-09	1.0636997e-35	0.022	0	0
0	0.9722217	-5.47152e-09	0	0.023	0	0
0	0.9726901	-3.8889993e-09	0	0.024000002	0	0
0	0.9731532	-1.7280399e-09	0	0.025000002	0	0
0	0.9736109	-2.579327e-09	0	0.025999997	0	0
0	0.9740634	-3.805326e-09	0	0.026999999	0	0
0	0.97451127	-2.1100277e-09	0	0.027999999	0	0
0	0.974954	-4.307367e-09	0	0.029	0	0
0	0.9753921	-3.5433914e-09	0	0.03	0	0
0	0.9758254	-1.8626451e-09	0	0.031000001	0	0
0	0.97625434	-4.329195e-09	0	0.032	0	0
0	0.97667897	-1.2951205e-09	0	0.032999996	0	0
0	0.9770993	-3.274181e-10	0	0.034000006	0	0
0	0.9775156	3.783498e-10	0	0.035	0	0
0	0.9779277	-3.0122465e-09	0	0.036	0	0
0	0.978336	-1.7826096e-09	0	0.037	0	0
0	0.9787406	-3.3614924e-09	0	0.038	0	0
0	0.9791415	-2.4665496e-09	0	0.039	0	0
0	0.9795388	-3.8780854e-09	0	0.039999995	0	0
0	0.97993237	-2.059096e-09	0	0.041000005	0	0
0	0.9803228	-9.094947e-11	0	0.042	0	0
0	0.9807104	-1.1350494e-09	0	0.043000005	0	0
0	0.9810942	1.4333636e-09	0	0.044	0	0
0	0.9814752	2.0845619e-09	0	0.045	0	0
0	0.98185337	1.5224941e-09	0	0.046	0	0
0	0.982229	-5.125912e-09	0	0.046999995	0	0
0	0.9826013	6.366463e-10	0	0.048000004	0	0
0	0.98297113	3.6743586e-10	0	0.049	0	0
0	0.9833385	1.1714292e-09	0	0.050000004	0	0
0	0.98370373	3.958121e-09	0	0.051	0	0
0	0.98406655	5.1040843e-09	0	0.051999994	0	0
0	0.98442733	-1.4915713e-09	0	0.053	0	0
0	0.9847861	1.3460522e-09	0	0.053999998	0	0
0	0.98514235	7.4360287e-09	0	0.055000003	0	0
0	0.9854974	2.0372681e-09	0	0.055999998	0	0
0	0.98585063	3.8489816e-09	0	0.057000004	0	0
0	0.9862027	4.8530637e-09	0	0.058	0	0
0	0.9865533	5.638867e-09	0	0.059000008	0	0
0	0.9869018	5.686161e-09	0	0.06	0	0
0	0.98725	6.1008905e-09	0	0.060999997	0	0
0	0.98759705	5.293259e-10	0	0.062000003	0	0
0	0.9879428	4.704816e-09	0	0.063	0	0
0	0.98828876	4.292815e-10	0	0.064	0	0
0	0.98863375	-2.5465852e-10	0	0.065	0	0
0	0.98897904	-2.044544e-09	0	0.06599999	0	0
0	0.98932385	-1.2812961e-08	0	0.067	0	0
0	0.9896689	-3.111927e-08	0	0.06800001	0	0
0	0.99001354	-8.89213e-08	0	0.069	0	0
0	0.9903426	-5.4919656e-07	0	0.07	0	0
0	0.9904432	-3.1844684e-07	0	0.071	0	0
0	0.9905219	-2.5428017e-07	0	0.072	0	0
0	0.99059975	-2.0820153e-07	0	0.07300001	0	0
0	0.9906769	-1.8616993e-07	0	0.074	0	0
0	0.9907533	-1.5416299e-07	0	0.074999996	0	0
0	0.99082917	-1.371809e-07	0	0.076	0	0
0	0.9909042	-1.2071541e-07	0	0.077	0	0
0	0.9909786	-1.1023076e-07	0	0.078	0	0
0	0.9910524	-9.291398e-08	0	0.079	0	0
0	0.99112546	-8.6802174e-08	0	0.07999999	0	0
0	0.99119776	-8.047937e-08	0	0.081	0	0
0	0.9912696	-7.17846e-08	0	0.08200001	0	0
0	0.99134064	-6.6604116e-08	0	0.083	0	0
0	0.99141103	-5.985203e-08	0	0.084	0	0
0	0.9914808	-5.5551936e-08	0	0.08499999	0	0
0	0.99155	-5.0713425e-08	0	0.08600001	0	0
0	0.9916185	-4.612957e-08	0	0.087000005	0	0
0	0.9916864	-4.0148734e-08	0	0.088	0	0
0	0.9917537	-3.5739504e-08	0	0.088999994	0	0
0	0.99182045	-3.635796e-08	0	0.09	0	0
0	0.9918865	-2.9976945e-08	0	0.091000006	0	0
0	0.991952	-3.3505785e-08	0	0.092	0	0
0	0.9920168	-2.7248461e-08	0	0.093	0	0
0	0.9920812	-2.4781912e-08	0	0.09399999	0	0
0	0.99214476	-2.3035682e-08	0	0.095	0	0
0	0.992208	-2.017623e-08	0	0.09600001	0	0
